2024-09-27 13:34:26 - Task: CheckGraph - Success: Microsoft Graph module successfully imported.
2024-09-27 13:37:37 - Task: CheckGraph - Success: Microsoft Graph module successfully imported.
2024-09-27 13:40:21 - Task: CheckGraph - Success: Microsoft Graph module successfully imported.
2024-09-27 14:11:07 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 14:23:26 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 14:24:02 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 14:27:18 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 14:29:31 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 14:37:39 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 14:40:35 - Task: collectEntraObjectIDs - Success: Successfully saved Object IDs to C:\Users\oheggelund\Documents\teamsDrammen - v2\scripts/../files/EntraObjectIDs.csv
2024-09-27 14:46:21 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 14:47:12 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 14:47:27 - Task: createGroup - Success: Successfully created group 'CUSTOM-AAD-DEVICE-CHG-0189318'. Group ID: f1fa7525-7a84-42ce-8778-5dbfd6786215
2024-09-27 15:02:38 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 15:02:52 - Task: createGroup - Success: Group 'CUSTOM-AAD-DEVICE-CHG-0189318' already exists. Group ID: f1fa7525-7a84-42ce-8778-5dbfd6786215
2024-09-27 15:06:02 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 15:06:23 - Task: createGroup - Success: Group 'CUSTOM-AAD-DEVICE-CHG-0189318' already exists. Group ID: f1fa7525-7a84-42ce-8778-5dbfd6786215
2024-09-27 15:07:11 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 15:07:24 - Task: createGroup - Success: Successfully created group 'CUSTOM-AAD-DEVICE-CHG-1089318'. Group ID: 5e551656-16e7-4192-8be4-ad0b31093a95
2024-09-27 15:11:09 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 15:11:22 - Task: createGroup - Success: Group 'CUSTOM-AAD-DEVICE-CHG-0189318' already exists. Group ID: f1fa7525-7a84-42ce-8778-5dbfd6786215
2024-09-27 15:13:01 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 15:13:11 - Task: createGroup - Success: Group 'CUSTOM-AAD-DEVICE-CHG-0189318' already exists. Group ID: f1fa7525-7a84-42ce-8778-5dbfd6786215
2024-09-27 15:24:32 - Task: populateGroup - Success: Successfully populated group f1fa7525-7a84-42ce-8778-5dbfd6786215 with devices.
2024-09-27 15:42:14 - Task: ConnectToGraph - Success: Successfully connected to Microsoft Graph.
2024-09-27 15:42:24 - Task: collectEntraObjectIDs - Success: Found ObjectID for mh-8cc2472wys : e0d75179-5c28-4c7e-8432-02918631d2b0
2024-09-27 15:42:24 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cg32565vh : 57166a1b-4b5c-4811-9460-99b8a66aa85d
2024-09-27 15:42:24 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cd3291k3n : 182b3020-b892-4e4d-9ac7-5cbca4916642
2024-09-27 15:42:25 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cd4145qj2 : fd770d1b-3d9b-4c50-a928-ab7e0e2b02bb
2024-09-27 15:42:25 - Task: collectEntraObjectIDs - Success: Found ObjectID for drilkj-8272h2j : e4afb9b0-f776-4e7a-8df1-d1dfeeb0ed23
2024-09-27 15:42:25 - Task: collectEntraObjectIDs - Success: Found ObjectID for drilar-11038x8 : 093e3f12-9e7c-4951-afb7-eeed26406a4a
2024-09-27 15:42:25 - Task: collectEntraObjectIDs - Success: Found ObjectID for druein-7072069 : b1825a64-c034-498c-bcc2-3a776c433b3e
2024-09-27 15:42:25 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cd4178dmf : 101f96c0-a27f-4882-b18f-2f5b2a455fa5
2024-09-27 15:42:25 - Task: collectEntraObjectIDs - Success: Found ObjectID for mh-8cc2472x1m : 5144f7d4-acb4-4822-b45d-b9b44339888b
2024-09-27 15:42:26 - Task: collectEntraObjectIDs - Success: Found ObjectID for dk-5cg21650n2 : a96f9164-d042-4847-8f29-3925ec25e4e4
2024-09-27 15:42:26 - Task: collectEntraObjectIDs - Success: Found ObjectID for neilsh-8180ywg : 19853ce7-01f9-4add-a903-bd4aa321bc8c
2024-09-27 15:42:26 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cd3291k43 : 4002ab15-47cb-4f98-8794-11f3c26801f4
2024-09-27 15:42:26 - Task: collectEntraObjectIDs - Success: Found ObjectID for mh-8cc2472xcz : 3e48a03b-c897-4cdf-a133-391e92824207
2024-09-27 15:42:26 - Task: collectEntraObjectIDs - Success: Found ObjectID for drilbo-146d0j7 : 85dffa17-f1a5-44ae-996b-0ae3c45c31e8
2024-09-27 15:42:26 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-pw021kt0 : 9322cca8-2493-49ad-8270-b7b9958a63e2
2024-09-27 15:42:26 - Task: collectEntraObjectIDs - Success: Found ObjectID for drildro-9404w5x : 54462009-9b4b-4ea6-b2ac-acb33321d724
2024-09-27 15:42:26 - Task: collectEntraObjectIDs - Success: Found ObjectID for hso-5cg246141y : a4de9f12-2cfc-42d8-a58c-2280c86f7caf
